Gauge,Storm,Date,Level
Cheswick Green,October 9th,2024-10-09,1.07
Coleshill,Early September,2024-09-22,0.78
Coleshill,Late September,2024-09-27,1.32
Coleshill,Early October,2024-10-01,0.65
Coleshill,October 9th,2024-10-09,0.36
Solihull Lodge,Early September,2024-09-22,0.52
Solihull Lodge,Late September,2024-09-27,1.16
Solihull Lodge,Early October,2024-09-30,1.06
Solihull Lodge,October 9th,2024-10-08,0.81
Swans Barn,Early September,2024-09-22,1.85
Swans Barn,Late September,2024-09-27,2.74
Swans Barn,Early October,2024-09-30,2.19
Swans Barn,October 9th,2024-10-08,2.02
Bournville Woodbrooke Road,Early September,2024-09-22,0.74
Bournville Woodbrooke Road,Late September,2024-09-26,1.85
Bournville Woodbrooke Road,Early October,2024-09-30,0.94
Bournville Woodbrooke Road,October 9th,2024-10-08,0.73
Calthorpe Park,Early September,2024-09-22,0.9
Calthorpe Park,Late September,2024-09-26,1.78
Calthorpe Park,Early October,2024-09-30,1.09
Calthorpe Park,October 9th,2024-10-08,0.84
Lodge Hill Elford Road,Early September,2024-09-21,0.66
Lodge Hill Elford Road,Late September,2024-09-26,1.57
Lodge Hill Elford Road,Early October,2024-09-30,0.73
Lodge Hill Elford Road,October 9th,2024-10-08,0.48
Longbridge Bristol Street South,Early September,2024-09-22,1.16
Longbridge Bristol Street South,Late September,2024-09-26,1.28
Longbridge Bristol Street South,Early October,2024-09-30,1.23
Longbridge Bristol Street South,October 9th,2024-10-08,1.11
Selly Park,Early September,2024-09-22,0.7
Selly Park,Late September,2024-09-26,1.85
Selly Park,Early October,2024-09-30,0.93
Selly Park,October 9th,2024-10-08,0.57
Bescot,Early September,2024-09-21,3.05
Bescot,Late September,2024-09-26,2.35
Bescot,Early October,2024-09-30,2.62
Bescot,October 9th,2024-10-08,1.58
Birmingham Perry Beeches,Early September,2024-09-21,1.64
Birmingham Perry Beeches,Late September,2024-09-26,0.81
Birmingham Perry Beeches,Early October,2024-09-30,0.73
Birmingham Perry Beeches,October 9th,2024-10-08,0.52
Brookvale Road,Early September,2024-09-22,2.44
Brookvale Road,Late September,2024-09-27,1.87
Brookvale Road,Early October,2024-09-30,2.15
Brookvale Road,October 9th,2024-10-08,1.09
Park Hill,Early September,2024-09-21,1.56
Park Hill,Late September,2024-09-26,1.11
Park Hill,Early October,2024-09-30,1.47
Park Hill,October 9th,2024-10-07,0.75
Perry Park,Early September,2024-09-22,2.37
Perry Park,Late September,2024-09-27,1.71
Perry Park,Early October,2024-09-30,1.99
Perry Park,October 9th,2024-10-08,0.97
Clifton Road,Early September,2024-09-22,0.82
Clifton Road,Late September,2024-09-27,1.34
Clifton Road,Early October,2024-09-30,0.64
Clifton Road,October 9th,2024-10-08,0.29
Walsall,Early September,2024-09-21,1.31
Walsall,Late September,2024-09-26,0.92
Walsall,Early October,2024-09-30,0.9
Walsall,October 9th,2024-10-08,0.34
Millfield Avenue,Early September,2024-09-22,0.89
Millfield Avenue,Late September,2024-09-27,0.7
Millfield Avenue,Early October,2024-09-30,0.77
Millfield Avenue,October 9th,2024-10-08,0.24
Bransford,Early September,2024-09-24,0.91
Bransford,Late September,2024-09-28,3.36
Bransford,Early October,2024-10-01,2.56
Bransford,October 9th,2024-10-09,1.25
Dutlas,Early September,2024-09-22,0.56
Dutlas,Late September,2024-09-27,1.18
Dutlas,Early October,2024-09-30,0.64
Dutlas,October 9th,2024-10-08,0.61
Knightsford Bridge,Early September,2024-09-24,0.86
Knightsford Bridge,Late September,2024-09-27,2.61
Knightsford Bridge,Early October,2024-09-30,1.99
Knightsford Bridge,October 9th,2024-10-09,1.15
Leintwardine,Early September,2024-09-23,0.67
Leintwardine,Late September,2024-09-27,1.2
Leintwardine,Early October,2024-09-30,1.01
Leintwardine,October 9th,2024-10-08,0.81
Ludlow Teme,Early September,2024-09-23,1.34
Ludlow Teme,Late September,2024-09-27,2.28
Ludlow Teme,Early October,2024-09-30,1.94
Ludlow Teme,October 9th,2024-10-09,1.66
Ludlow Orleton Millbrook Way,Early September,2024-09-21,0.13
Ludlow Orleton Millbrook Way,Late September,2024-09-27,0.13
Ludlow Orleton Millbrook Way,Early October,2024-09-30,0.15
Ludlow Orleton Millbrook Way,October 9th,2024-10-08,0.3
Stanford Bridge,Early September,2024-09-24,0.6
Stanford Bridge,Late September,2024-09-27,2.43
Stanford Bridge,Early October,2024-09-30,1.86
Stanford Bridge,October 9th,2024-10-09,0.99
Burford Bridge,Early September,2024-09-23,0.61
Burford Bridge,Late September,2024-09-27,0.9
Burford Bridge,Early October,2024-09-30,0.84
Burford Bridge,October 9th,2024-10-07,0.68
CRAVEN ARMS BURNSIDE CLOSE,Early September,2024-09-23,0.29
CRAVEN ARMS BURNSIDE CLOSE,Late September,2024-09-26,0.25
CRAVEN ARMS BURNSIDE CLOSE,Early October,2024-09-30,0.38
CRAVEN ARMS BURNSIDE CLOSE,October 9th,2024-10-08,0.32
Ludlow - Corve,Early September,2024-09-24,1.04
Ludlow - Corve,Late September,2024-09-27,1.92
Ludlow - Corve,Early October,2024-10-01,2.03
Ludlow - Corve,October 9th,2024-10-09,1.32
Newnham Bridge,Early September,2024-09-23,0.61
Newnham Bridge,Late September,2024-09-27,2.06
Newnham Bridge,Early October,2024-09-30,1.29
Newnham Bridge,October 9th,2024-10-09,0.68
Onibury,Early September,2024-09-23,1.19
Onibury,Late September,2024-09-27,2.29
Onibury,Early October,2024-09-30,1.86
Onibury,October 9th,2024-10-08,1.53
Sutton Bridge,Early September,2024-09-23,0.55
Sutton Bridge,Late September,2024-09-27,0.62
Sutton Bridge,Early October,2024-09-30,0.63
Sutton Bridge,October 9th,2024-10-08,0.61
Tenbury,Early September,2024-09-24,0.9
Tenbury,Late September,2024-09-27,2.2
Tenbury,Early October,2024-09-30,1.64
Tenbury,October 9th,2024-10-09,1.27
Tenbury Kyre Brook,Early September,2024-09-23,0.15
Tenbury Kyre Brook,Late September,2024-09-27,0.24
Tenbury Kyre Brook,Early October,2024-09-30,0.25
Tenbury Kyre Brook,October 9th,2024-10-08,0.23
Croxall,Early September,2024-09-24,1.76
Croxall,Late September,2024-09-29,1.78
Croxall,Early October,2024-10-02,1.98
Croxall,October 9th,2024-10-05,1.25
Drakelow,Early September,2024-09-24,2.25
Drakelow,Late September,2024-09-29,2.24
Drakelow,Early October,2024-10-03,2.51
Drakelow,October 9th,2024-10-05,1.96
Yoxall,Early September,2024-09-23,1.7
Yoxall,Late September,2024-09-26,1.24
Yoxall,Early October,2024-10-01,1.68
Yoxall,October 9th,2024-10-05,1.15
Blythe Bridge,Early September,2024-09-21,1.52
Blythe Bridge,Late September,2024-09-27,0.45
Blythe Bridge,Early October,2024-09-30,0.67
Blythe Bridge,October 9th,2024-10-07,0.52
Cresswell,Early September,2024-09-22,1.12
Cresswell,Late September,2024-09-27,0.37
Cresswell,Early October,2024-09-30,0.58
Cresswell,October 9th,2024-10-07,0.47
Hamstall Ridware,Early September,2024-09-22,0.3
Hamstall Ridware,Late September,2024-09-27,0.27
Hamstall Ridware,Early October,2024-09-30,0.52
Hamstall Ridware,October 9th,2024-10-09,0.16
Hoar Cross,Early September,2024-09-22,0.44
Hoar Cross,Late September,2024-09-27,0.55
Hoar Cross,Early October,2024-09-30,0.89
Hoar Cross,October 9th,2024-10-05,0.26
Clifton Hall,Early September,2024-09-23,0.99
Clifton Hall,Late September,2024-09-28,1.37
Clifton Hall,Early October,2024-10-02,1.8
Clifton Hall,October 9th,2024-10-05,0.6
Packington,Early September,2024-09-22,0.9
Packington,Late September,2024-09-27,1.13
Packington,Early October,2024-10-01,1.25
Packington,October 9th,2024-10-08,0.62
Astonfields,Early September,2024-09-22,0.68
Astonfields,Late September,2024-09-27,0.35
Astonfields,Early October,2024-09-30,0.61
Astonfields,October 9th,2024-10-07,0.45
Bushbury Wychall Drive,Early September,2024-09-21,1.15
Bushbury Wychall Drive,Late September,2024-09-27,0.52
Bushbury Wychall Drive,Early October,2024-09-30,0.63
Bushbury Wychall Drive,October 9th,2024-10-07,0.45
Cannock,Early September,2024-09-22,1.14
Cannock,Late September,2024-09-27,0.72
Cannock,Early October,2024-09-30,0.97
Cannock,October 9th,2024-10-07,0.61
Churchbridge Hall Lane,Early September,2024-09-21,0.8
Churchbridge Hall Lane,Late September,2024-09-27,0.4
Churchbridge Hall Lane,Early October,2024-09-30,0.42
Churchbridge Hall Lane,October 9th,2024-10-07,0.11
Coven,Early September,2024-09-22,2.01
Coven,Late September,2024-09-27,1.4
Coven,Early October,2024-09-30,1.49
Coven,October 9th,2024-10-08,1.06
Deepmore Farm,Early September,2024-09-22,1.33
Deepmore Farm,Late September,2024-09-27,1.15
Deepmore Farm,Early October,2024-09-30,1.28
Deepmore Farm,October 9th,2024-10-07,0.7
Great Bridgford,Early September,2024-09-23,0.94
Great Bridgford,Late September,2024-09-26,0.49
Great Bridgford,Early October,2024-10-01,1.07
Great Bridgford,October 9th,2024-10-08,0.52
Milford,Early September,2024-09-24,1.91
Milford,Late September,2024-09-26,1.58
Milford,Early October,2024-10-02,1.77
Milford,October 9th,2024-10-05,1.43
Penkridge,Early September,2024-09-22,1.77
Penkridge,Late September,2024-09-27,1.27
Penkridge,Early October,2024-10-01,1.58
Penkridge,October 9th,2024-10-08,0.74
Shallowford,Early September,2024-09-23,0.64
Shallowford,Late September,2024-09-27,0.32
Shallowford,Early October,2024-10-01,0.8
Shallowford,October 9th,2024-10-08,0.39
Stafford,Early September,2024-09-21,0.9
Stafford,Late September,2024-09-27,0.23
Stafford,Early October,2024-09-30,0.45
Stafford,October 9th,2024-10-07,0.5
Halesowen,Early September,2024-09-23,0.95
Halesowen,Late September,2024-09-27,1.08
Halesowen,Early October,2024-09-30,1.08
Halesowen,October 9th,2024-10-07,0.88
Halesowen Dogkennel Lane,Early September,2024-09-23,0.31
Halesowen Dogkennel Lane,Late September,2024-09-27,0.54
Halesowen Dogkennel Lane,Early October,2024-09-30,0.51
Halesowen Dogkennel Lane,October 9th,2024-10-08,0.23
Halesowen Manor Way,Early September,2024-09-23,0.44
Halesowen Manor Way,Late September,2024-09-26,0.89
Halesowen Manor Way,Early October,2024-09-30,0.86
Halesowen Manor Way,October 9th,2024-10-08,0.43
Stourbridge,Early September,2024-09-23,1.07
Stourbridge,Late September,2024-09-26,1.08
Stourbridge,Early October,2024-09-30,1.04
Stourbridge,October 9th,2024-10-07,0.57
Swindon,Early September,2024-09-21,2.28
Swindon,Late September,2024-09-27,2.04
Swindon,Early October,2024-09-30,2.12
Swindon,October 9th,2024-10-08,1.51
Wightwick,Early September,2024-09-21,0.67
Wightwick,Late September,2024-09-27,0.35
Wightwick,Early October,2024-09-30,0.55
Wightwick,October 9th,2024-10-06,0.26
Wombourne,Early September,2024-09-21,1.24
Wombourne,Late September,2024-09-26,0.86
Wombourne,Early October,2024-09-30,0.66
Wombourne,October 9th,2024-10-07,0.43
Great Haywood,Early September,2024-09-22,2.31
Great Haywood,Late September,2024-09-26,1.33
Great Haywood,Early October,2024-10-01,2.05
Great Haywood,October 9th,2024-10-08,1.35
Brookhouse Farm,Early September,2024-09-22,0.5
Brookhouse Farm,Late September,2024-09-27,0.4
Brookhouse Farm,Early October,2024-09-30,0.8
Brookhouse Farm,October 9th,2024-10-08,0.37
Darlaston,Early September,2024-09-22,2.63
Darlaston,Late September,2024-09-27,1.21
Darlaston,Early October,2024-09-30,2.03
Darlaston,October 9th,2024-10-07,1.42
Hanford Bridge,Early September,2024-09-21,2.0
Hanford Bridge,Late September,2024-09-27,0.69
Hanford Bridge,Early October,2024-09-30,1.21
Hanford Bridge,October 9th,2024-10-06,0.87
Knypersley,Early September,2024-09-21,0.5
Knypersley,Late September,2024-09-27,0.46
Knypersley,Early October,2024-09-30,0.55
Knypersley,October 9th,2024-10-06,0.53
Liverpool Road,Early September,2024-09-21,1.81
Liverpool Road,Late September,2024-09-27,0.41
Liverpool Road,Early October,2024-09-30,0.86
Liverpool Road,October 9th,2024-10-07,0.8
Newcastle Under Lyme,Early September,2024-09-21,1.37
Newcastle Under Lyme,Late September,2024-09-26,0.5
Newcastle Under Lyme,Early October,2024-09-30,0.89
Newcastle Under Lyme,October 9th,2024-10-06,0.6
Stoke-On-Trent,Early September,2024-09-21,1.0
Stoke-On-Trent,Late September,2024-09-27,0.2
Stoke-On-Trent,Early October,2024-09-30,0.57
Stoke-On-Trent,October 9th,2024-10-06,0.31
Belmont,Early September,2024-09-23,1.96
Belmont,Late September,2024-09-27,3.68
Belmont,Early October,2024-10-02,1.87
Belmont,October 9th,2024-10-09,1.77
Bredwardine,Early September,2024-09-23,1.92
Bredwardine,Late September,2024-09-27,3.63
Bredwardine,Early October,2024-10-02,1.83
Bredwardine,October 9th,2024-10-08,1.77
Eywas Harold,Early September,2024-09-23,0.24
Eywas Harold,Late September,2024-09-27,0.42
Eywas Harold,Early October,2024-09-30,0.53
Eywas Harold,October 9th,2024-10-08,0.71
Lydbrook,Early September,2024-09-24,2.27
Lydbrook,Late September,2024-09-28,3.61
Lydbrook,Early October,2024-10-02,2.32
Lydbrook,October 9th,2024-10-09,1.83
Mordiford,Early September,2024-09-24,1.99
Mordiford,Late September,2024-09-27,3.44
Mordiford,Early October,2024-10-02,2.02
Mordiford,October 9th,2024-10-09,1.79
Hereford Bridge,Early September,2024-09-23,1.69
Hereford Bridge,Late September,2024-09-27,3.29
Hereford Bridge,Early October,2024-10-01,1.58
Hereford Bridge,October 9th,2024-10-09,1.49
Ross On Wye,Early September,2024-09-24,1.56
Ross On Wye,Late September,2024-09-28,2.93
Ross On Wye,Early October,2024-10-02,1.6
Ross On Wye,October 9th,2024-10-09,1.14
Sandford Bridge,Early September,2024-09-23,0.37
Sandford Bridge,Late September,2024-09-27,0.35
Sandford Bridge,Early October,2024-09-30,0.41
Sandford Bridge,October 9th,2024-10-08,0.34
Bishops Frome,Early September,2024-09-23,0.31
Bishops Frome,Late September,2024-09-27,0.66
Bishops Frome,Early October,2024-09-30,0.46
Bishops Frome,October 9th,2024-10-09,0.49
Bromyard,Early September,2024-09-23,0.36
Bromyard,Late September,2024-09-26,1.18
Bromyard,Early October,2024-09-30,0.72
Bromyard,October 9th,2024-10-08,0.79
Butts Bridge,Early September,2024-09-23,0.95
Butts Bridge,Late September,2024-09-27,1.32
Butts Bridge,Early October,2024-09-30,1.56
Butts Bridge,October 9th,2024-10-09,1.26
Byton,Early September,2024-09-23,0.57
Byton,Late September,2024-09-27,0.81
Byton,Early October,2024-09-30,0.96
Byton,October 9th,2024-10-08,0.73
Eardisland,Early September,2024-09-23,0.53
Eardisland,Late September,2024-09-27,0.85
Eardisland,Early October,2024-09-30,0.77
Eardisland,October 9th,2024-10-08,0.56
Ford Bridge,Early September,2024-09-24,0.81
Ford Bridge,Late September,2024-09-27,1.16
Ford Bridge,Early October,2024-09-30,1.33
Ford Bridge,October 9th,2024-10-09,1.09
Leominster Osborne Place,Early September,2024-09-23,0.76
Leominster Osborne Place,Late September,2024-09-27,1.03
Leominster Osborne Place,Early October,2024-10-01,1.09
Leominster Osborne Place,October 9th,2024-10-08,0.99
Leominster Upper Marsh,Early September,2024-09-23,0.59
Leominster Upper Marsh,Late September,2024-09-27,0.75
Leominster Upper Marsh,Early October,2024-09-30,0.85
Leominster Upper Marsh,October 9th,2024-10-09,0.72
Lugwardine,Early September,2024-09-24,1.86
Lugwardine,Late September,2024-09-28,2.45
Lugwardine,Early October,2024-10-02,2.58
Lugwardine,October 9th,2024-10-05,2.06
Peterchurch,Early September,2024-09-21,0.53
Peterchurch,Late September,2024-09-27,0.94
Peterchurch,Early October,2024-09-30,1.34
Peterchurch,October 9th,2024-10-08,0.83
Three Elms,Early September,2024-09-20,0.71
Three Elms,Late September,2024-09-27,0.35
Three Elms,Early October,2024-09-30,0.17
Three Elms,October 9th,2024-10-08,0.2
Titley Mill,Early September,2024-09-23,0.63
Titley Mill,Late September,2024-09-27,1.1
Titley Mill,Early October,2024-09-30,1.0
Titley Mill,October 9th,2024-10-08,0.63
Yarkhill,Early September,2024-09-20,1.06
Yarkhill,Late September,2024-09-27,1.24
Yarkhill,Early October,2024-09-30,0.7
Yarkhill,October 9th,2024-10-09,0.83
