Gauge,Level,Date
Harford Hill,2.17,29/12/2023
Harford Hill,2.42,02/01/2024
Harford Hill,1.78,22/01/2024
Harford Hill,2.38,22/02/2024
Hatton,3.67,21/10/2023
Hatton,2.84,03/11/2023
Hatton,2.61,10/02/2024
Hatton,2.75,10/12/2023
Hatton,2.46,28/12/2023
Hatton,3.3,03/01/2024
Hatton,1.41,22/01/2024
Hatton,2.6,23/02/2024
Haw Bridge,5.07,25/10/2023
Haw Bridge,4.46,06/11/2023
Haw Bridge,5.18,12/02/2024
Haw Bridge,4.98,14/12/2023
Haw Bridge,5.13,02/01/2024
Haw Bridge,5.78,05/01/2024
Haw Bridge,3.61,27/01/2024
Haw Bridge,5.17,24/02/2024
Henley River,2.35,20/10/2023
Henley River,0.68,04/11/2023
Henley River,1.53,09/02/2024
Henley River,0.97,09/12/2023
Henley River,1.58,28/12/2023
Henley River,1.75,02/01/2024
Henley River,0.77,22/01/2024
Henley River,1.33,22/02/2024
Hereford Bridge,3.83,21/10/2023
Hereford Bridge,3.51,05/11/2023
Hereford Bridge,4.38,09/02/2024
Hereford Bridge,3.67,13/12/2023
Hereford Bridge,4.64,28/12/2023
Hereford Bridge,5.18,03/01/2024
Hereford Bridge,3.55,22/01/2024
Hereford Bridge,4.17,23/02/2024
Hinton,2.95,20/10/2023
Hinton,1.43,04/11/2023
Hinton,2.71,09/02/2024
Hinton,2.02,09/12/2023
Hinton,2.46,31/12/2023
Hinton,2.32,02/01/2024
Hinton,0.62,22/01/2024
Hinton,2.2,22/02/2024
Hints,1.83,20/10/2023
Hints,1.6,05/11/2023
Hints,1.79,09/02/2024
Hints,1.6,09/12/2023
Hints,1.51,27/12/2023
Hints,2.06,03/01/2024
Hints,1.38,22/01/2024
Hints,1.79,22/02/2024
Hoar Cross,1.83,20/10/2023
Hoar Cross,0.97,04/11/2023
Hoar Cross,1.47,09/02/2024
Hoar Cross,1.22,09/12/2023
Hoar Cross,1.44,02/01/2024
Hoar Cross,1.66,02/01/2024
Hoar Cross,0.29,22/01/2024
Hoar Cross,1.59,22/02/2024
Hookagate,2.31,20/10/2023
Hookagate,1.15,05/11/2023
Hookagate,1.52,09/02/2024
Hookagate,1.14,09/12/2023
Hookagate,1.36,28/12/2023
Hookagate,1.68,02/01/2024
Hookagate,0.92,24/01/2024
Hookagate,1.5,22/02/2024
"Hope Street, Coventry",1.96,20/10/2023
"Hope Street, Coventry",1.1,04/11/2023
"Hope Street, Coventry",2.25,09/02/2024
"Hope Street, Coventry",1.56,10/12/2023
"Hope Street, Coventry",1.62,02/01/2024
"Hope Street, Coventry",2.14,02/01/2024
"Hope Street, Coventry",1.44,22/01/2024
"Hope Street, Coventry",2.12,22/02/2024
Hopwas Bridge,2.84,21/10/2023
Hopwas Bridge,1.89,05/11/2023
Hopwas Bridge,2.72,10/02/2024
Hopwas Bridge,2.12,11/12/2023
Hopwas Bridge,2.08,29/12/2023
Hopwas Bridge,2.99,03/01/2024
Hopwas Bridge,1.34,22/01/2024
Hopwas Bridge,2.56,23/02/2024
Horsebottoms,2.08,20/10/2023
Horsebottoms,1.73,02/11/2023
Horsebottoms,1.73,09/02/2024
Horsebottoms,1.64,09/12/2023
Horsebottoms,1.94,27/12/2023
Horsebottoms,2.01,02/01/2024
Horsebottoms,0.55,22/01/2024
Horsebottoms,1.94,22/02/2024
Hucclecote,1.13,20/10/2023
Hucclecote,0.64,04/11/2023
Hucclecote,1.19,09/02/2024
Hucclecote,0.52,09/12/2023
Hucclecote,0.81,30/12/2023
Hucclecote,0.91,02/01/2024
Hucclecote,0.64,22/01/2024
Hucclecote,0.67,22/02/2024
Ilam,2.48,20/10/2023
Ilam,1.62,02/11/2023
Ilam,1.16,09/02/2024
Ilam,1.32,10/12/2023
Ilam,1.46,02/01/2024
Ilam,1.62,02/01/2024
Ilam,0.59,22/01/2024
Ilam,1.33,22/02/2024
India Road,0.77,20/10/2023
India Road,0.37,04/11/2023
India Road,0.45,09/02/2024
India Road,0.27,10/12/2023
India Road,0.32,30/12/2023
India Road,0.33,02/01/2024
India Road,0.31,21/01/2024
India Road,0.44,22/02/2024
Izaak Walton,1.53,20/10/2023
Izaak Walton,0.88,03/11/2023
Izaak Walton,0.79,09/02/2024
Izaak Walton,1.11,10/12/2023
Izaak Walton,0.97,01/01/2024
Izaak Walton,1.14,02/01/2024
Izaak Walton,0.61,22/01/2024
Izaak Walton,0.9,22/02/2024
Kempsey Yacht Club,7.11,22/10/2023
Kempsey Yacht Club,5.41,05/11/2023
Kempsey Yacht Club,6.91,10/02/2024
Kempsey Yacht Club,6.21,14/12/2023
Kempsey Yacht Club,6.81,01/01/2024
Kempsey Yacht Club,7.21,03/01/2024
Kempsey Yacht Club,4.42,26/01/2024
Kempsey Yacht Club,6.73,23/02/2024
Kenilworth,1.89,20/10/2023
Kenilworth,1.06,02/11/2023
Kenilworth,2.27,09/02/2024
Kenilworth,1.36,10/12/2023
Kenilworth,1.88,28/12/2023
Kenilworth,2.17,02/01/2024
Kenilworth,1.14,22/01/2024
Kenilworth,1.71,22/02/2024
Kenilworth Whateleys Drive,0.82,20/10/2023
Kenilworth Whateleys Drive,0.34,04/11/2023
Kenilworth Whateleys Drive,0.66,10/12/2023
Kenilworth Whateleys Drive,0.93,28/12/2023
Kenilworth Whateleys Drive,0.75,02/01/2024
Kenilworth Whateleys Drive,0.38,22/01/2024
Kingscroft Road,1.5,20/10/2023
Kingscroft Road,0.84,04/11/2023
Kingscroft Road,1.12,09/02/2024
Kingscroft Road,0.56,10/12/2023
Kingscroft Road,0.8,30/12/2023
Kingscroft Road,0.94,02/01/2024
Kingscroft Road,0.84,21/01/2024
Kingscroft Road,0.79,22/02/2024
Kites Hardwick,1.53,21/10/2023
Kites Hardwick,1.9,03/11/2023
Kites Hardwick,2.32,09/02/2024
Kites Hardwick,2,10/12/2023
Kites Hardwick,2.24,31/12/2023
Kites Hardwick,2.4,02/01/2024
Kites Hardwick,0.84,22/01/2024
Kites Hardwick,2.18,23/02/2024
Knightsford Bridge,5.67,21/10/2023
Knightsford Bridge,3.39,05/11/2023
Knightsford Bridge,5.3,09/02/2024
Knightsford Bridge,3.64,13/12/2023
Knightsford Bridge,4.28,28/12/2023
Knightsford Bridge,5.46,03/01/2024
Knightsford Bridge,1.74,22/01/2024
Knightsford Bridge,5.08,23/02/2024
Knypersley,1.06,20/10/2023
Knypersley,1.16,02/11/2023
Knypersley,0.68,09/02/2024
Knypersley,0.78,09/12/2023
Knypersley,0.95,02/01/2024
Knypersley,1.11,02/01/2024
Knypersley,0.59,22/01/2024
Knypersley,0.88,22/02/2024
Lea Marston Lakes,1.74,20/10/2023
Lea Marston Lakes,1.05,04/11/2023
Lea Marston Lakes,1.62,09/02/2024
Lea Marston Lakes,1.18,09/12/2023
Lea Marston Lakes,1.28,02/01/2024
Lea Marston Lakes,1.75,03/01/2024
Lea Marston Lakes,0.95,22/01/2024
Lea Marston Lakes,1.52,22/02/2024
Leasows Farm,1.74,20/10/2023
Leasows Farm,1.63,03/11/2023
Leasows Farm,1.46,09/02/2024
Leasows Farm,1.59,09/12/2023
Leasows Farm,1.54,27/12/2023
Leasows Farm,1.72,03/01/2024
Leasows Farm,0.87,22/01/2024
Leasows Farm,1.44,22/02/2024
Leek,0.94,20/10/2023
Leek,1.54,02/11/2023
Leek,0.83,09/02/2024
Leek,1.01,09/12/2023
Leek,1.04,02/01/2024
Leek,1.26,02/01/2024
Leek,0.6,22/01/2024
Leek,0.98,22/02/2024
Leintwardine,2.39,21/10/2023
Leintwardine,1.32,05/11/2023
Leintwardine,1.58,09/02/2024
Leintwardine,1.38,13/12/2023
Leintwardine,1.5,28/12/2023
Leintwardine,2.05,03/01/2024
Leintwardine,0.93,24/01/2024
Leintwardine,1.36,22/02/2024
Leominster Osborne Place,2.07,21/10/2023
Leominster Osborne Place,1.66,05/11/2023
Leominster Osborne Place,1.75,13/12/2023
Leominster Osborne Place,1.84,02/01/2024
Leominster Osborne Place,2.92,03/01/2024
Leominster Osborne Place,1.07,22/01/2024
Leominster Upper Marsh,1.88,20/10/2023
Leominster Upper Marsh,1.4,04/11/2023
Leominster Upper Marsh,1.4,13/12/2023
Leominster Upper Marsh,1.61,02/01/2024
Leominster Upper Marsh,2.56,03/01/2024
Leominster Upper Marsh,0.76,22/01/2024
Lilbourne,1.32,21/10/2023
Lilbourne,1.36,03/11/2023
Lilbourne,1.67,09/02/2024
Lilbourne,1.33,09/12/2023
Lilbourne,1.52,31/12/2023
Lilbourne,1.8,02/01/2024
Lilbourne,1.02,22/01/2024
Lilbourne,1.46,22/02/2024
Little Alne,3.19,20/10/2023
Little Alne,1.95,04/11/2023
Little Alne,3.09,09/02/2024
Little Alne,2.84,09/12/2023
Little Alne,2.96,28/12/2023
Little Alne,3.06,02/01/2024
Little Alne,1.74,22/01/2024
Little Alne,2.92,22/02/2024
Liverpool Road,1.56,20/10/2023
Liverpool Road,1.06,02/11/2023
Liverpool Road,0.78,09/02/2024
Liverpool Road,0.76,09/12/2023
Liverpool Road,1.05,02/01/2024
Liverpool Road,1.75,02/01/2024
Liverpool Road,0.58,21/01/2024
Liverpool Road,0.9,22/02/2024
Llanyblodwel,1.98,20/10/2023
Llanyblodwel,0.98,04/11/2023
Llanyblodwel,1.1,09/02/2024
Llanyblodwel,1.6,09/12/2023
Llanyblodwel,1.87,30/12/2023
Llanyblodwel,1.79,02/01/2024
Llanyblodwel,1.89,22/01/2024
Llanyblodwel,1.54,22/02/2024
Lodge Hill Elford Road,1.21,20/10/2023
Lodge Hill Elford Road,0.38,04/11/2023
Lodge Hill Elford Road,0.52,10/12/2023
Lodge Hill Elford Road,0.54,01/01/2024
Lodge Hill Elford Road,0.63,02/01/2024
Lodge Hill Elford Road,0.58,21/01/2024
Longbridge Bristol Street South,1.65,20/10/2023
Longbridge Bristol Street South,0.2,04/11/2023
Longbridge Bristol Street South,1.03,10/12/2023
Longbridge Bristol Street South,0.74,01/01/2024
Longbridge Bristol Street South,0.96,02/01/2024
Longbridge Bristol Street South,1.12,21/01/2024
Longford,1.6,20/10/2023
Longford,0.82,02/11/2023
Longford,1.58,09/02/2024
Longford,1.01,10/12/2023
Longford,1.05,28/12/2023
Longford,1,22/01/2024
Longford,1.39,22/02/2024
Ludlow - Corve,3.9,20/10/2023
Ludlow - Corve,2.56,05/11/2023
Ludlow - Corve,3.24,09/02/2024
Ludlow - Corve,3.11,13/12/2023
Ludlow - Corve,3.11,28/12/2023
Ludlow - Corve,3.38,02/01/2024
Ludlow - Corve,1.6,22/01/2024
Ludlow - Corve,3.26,22/02/2024
Ludlow Orleton Millbrook Way,0.71,20/10/2023
Ludlow Orleton Millbrook Way,0.27,04/11/2023
Ludlow Orleton Millbrook Way,0.53,09/12/2023
Ludlow Orleton Millbrook Way,0.82,01/01/2024
Ludlow Orleton Millbrook Way,1.17,02/01/2024
Ludlow Orleton Millbrook Way,0.21,22/01/2024
Ludlow Teme,4.47,20/10/2023
Ludlow Teme,2.4,05/11/2023
Ludlow Teme,3.05,09/02/2024
Ludlow Teme,2.6,13/12/2023
Ludlow Teme,2.63,28/12/2023
Ludlow Teme,3.71,03/01/2024
Ludlow Teme,1.68,24/01/2024
Ludlow Teme,2.92,22/02/2024
Lugwardine,2.78,23/10/2023
Lugwardine,2.78,07/11/2023
Lugwardine,2.8,10/02/2024
Lugwardine,2.78,14/12/2023
Lugwardine,2.79,01/01/2024
Lugwardine,2.93,04/01/2024
Lugwardine,2.64,22/01/2024
Lugwardine,2.79,22/02/2024
Lydbrook,4.3,22/10/2023
Lydbrook,4.07,05/11/2023
Lydbrook,5.33,10/02/2024
Lydbrook,4.28,13/12/2023
Lydbrook,5.45,30/12/2023
Lydbrook,6.76,04/01/2024
Lydbrook,3.91,23/01/2024
Lydbrook,4.86,24/02/2024
Lydney,0.52,20/10/2023
Lydney,0.44,04/11/2023
Lydney,0.89,09/02/2024
Lydney,0.7,09/12/2023
Lydney,0.77,02/01/2024
Lydney,0.85,02/01/2024
Lydney,0.66,22/01/2024
Lydney,0.64,23/02/2024
Maesbrook,1.74,21/10/2023
Maesbrook,0.46,04/11/2023
Maesbrook,1.32,09/02/2024
Maesbrook,1.47,10/12/2023
Maesbrook,1.48,28/12/2023
Maesbrook,1.53,03/01/2024
Maesbrook,1.48,24/01/2024
Maesbrook,1.43,22/02/2024
Mancetter,2.08,21/10/2023
Mancetter,1.64,03/11/2023
Mancetter,2.03,09/02/2024
Mancetter,1.76,11/12/2023
Mancetter,1.84,31/12/2023
Mancetter,2.15,03/01/2024
Mancetter,1.18,22/01/2024
Mancetter,1.92,23/02/2024
Marchington,1.85,20/10/2023
Marchington,1.52,05/11/2023
Marchington,1.58,09/02/2024
Marchington,1.64,12/12/2023
Marchington,1.63,02/01/2024
Marchington,1.75,02/01/2024
Marchington,0.27,22/01/2024
Marchington,1.66,22/02/2024
Marlbrook,2.76,20/10/2023
Marlbrook,1,04/11/2023
Marlbrook,1.29,12/12/2023
Marlbrook,1.04,02/01/2024
Marlbrook,1.95,02/01/2024
Marlbrook,0.29,22/01/2024
Marston On Dove,2.69,21/10/2023
Marston On Dove,2.13,03/11/2023
Marston On Dove,1.91,10/02/2024
Marston On Dove,2.05,10/12/2023
Marston On Dove,1.75,28/12/2023
Marston On Dove,2.52,03/01/2024
Marston On Dove,0.99,22/01/2024
Marston On Dove,1.87,23/02/2024
Matson Place,0.92,20/10/2023
Matson Place,0.48,04/11/2023
Matson Place,0.71,09/02/2024
Matson Place,0.45,10/12/2023
Matson Place,0.51,01/01/2024
Matson Place,0.64,02/01/2024
Matson Place,0.53,22/01/2024
Matson Place,0.56,22/02/2024
Mayfield,3.22,20/10/2023
Mayfield,2.45,03/11/2023
Mayfield,1.95,09/02/2024
Mayfield,2.22,09/12/2023
Mayfield,2.04,02/01/2024
Mayfield,2.76,02/01/2024
Mayfield,0.99,22/01/2024
Mayfield,2.1,22/02/2024
Merestones Road,0.62,20/10/2023
Merestones Road,0.28,04/11/2023
Merestones Road,0.51,09/02/2024
Merestones Road,0.41,12/12/2023
Merestones Road,0.39,30/12/2023
Merestones Road,0.39,02/01/2024
Merestones Road,0.23,21/01/2024
Merestones Road,0.34,22/02/2024
Merrywalks,0.59,20/10/2023
Merrywalks,0.38,04/11/2023
Merrywalks,0.61,09/02/2024
Merrywalks,0.34,12/12/2023
Merrywalks,0.5,28/12/2023
Merrywalks,0.46,02/01/2024
Merrywalks,0.33,21/01/2024
Merrywalks,0.41,22/02/2024
Milford,2.66,22/10/2023
Milford,1.96,06/11/2023
Milford,2.28,10/02/2024
Milford,2.12,10/12/2023
Milford,2.06,29/12/2023
Milford,2.69,03/01/2024
Milford,1.02,22/01/2024
Milford,2.45,23/02/2024
Millfield Avenue,0.94,20/10/2023
Millfield Avenue,0.64,05/11/2023
Millfield Avenue,0.49,09/12/2023
Millfield Avenue,0.49,02/01/2024
Millfield Avenue,0.74,02/01/2024
Millfield Avenue,0.24,22/01/2024
Minsterworth,5.85,28/10/2023
Minsterworth,4.75,01/11/2023
Minsterworth,5.83,11/02/2024
Minsterworth,4.69,14/12/2023
Minsterworth,4.4,27/12/2023
Minsterworth,4.12,05/01/2024
Minsterworth,3.68,25/01/2024
Minsterworth,4.7,24/02/2024
Montford,6.34,22/10/2023
Montford,4.26,05/11/2023
Montford,5.44,10/02/2024
Montford,5.49,14/12/2023
Montford,5.93,29/12/2023
Montford,6.58,03/01/2024
Montford,5.11,25/01/2024
Montford,5.34,23/02/2024
Moorend Road,0.77,20/10/2023
Moorend Road,0.55,02/11/2023
Moorend Road,0.77,09/02/2024
Moorend Road,0.58,12/12/2023
Moorend Road,0.68,30/12/2023
Moorend Road,0.68,02/01/2024
Moorend Road,0.5,22/01/2024
Moorend Road,0.64,22/02/2024
Mordiford,4.25,21/10/2023
Mordiford,3.89,05/11/2023
Mordiford,4.75,10/02/2024
Mordiford,4.13,13/12/2023
Mordiford,4.8,29/12/2023
Mordiford,5.24,03/01/2024
Mordiford,3.79,22/01/2024
Mordiford,4.63,23/02/2024
Mythe Bridge,4.29,22/10/2023
Mythe Bridge,3.51,06/11/2023
Mythe Bridge,4.36,10/02/2024
Mythe Bridge,4.08,11/12/2023
Mythe Bridge,4.28,01/01/2024
Mythe Bridge,4.83,04/01/2024
Mythe Bridge,2.6,27/01/2024
Mythe Bridge,0,22/02/2024
Newcastle Under Lyme,1.28,20/10/2023
Newcastle Under Lyme,0.8,02/11/2023
Newcastle Under Lyme,0.68,09/02/2024
Newcastle Under Lyme,0.91,09/12/2023
Newcastle Under Lyme,0.96,01/01/2024
Newcastle Under Lyme,1.29,02/01/2024
Newcastle Under Lyme,0.6,21/01/2024
Newcastle Under Lyme,1.07,22/02/2024
Newnham Bridge,3.94,20/10/2023
Newnham Bridge,1.44,04/11/2023
Newnham Bridge,2.46,09/02/2024
Newnham Bridge,1.77,09/12/2023
Newnham Bridge,1.87,02/01/2024
Newnham Bridge,2.65,02/01/2024
Newnham Bridge,1.18,22/01/2024
Newnham Bridge,2.2,22/02/2024
Nuneaton,1.81,20/10/2023
Nuneaton,1.21,02/11/2023
Nuneaton,1.71,09/02/2024
Nuneaton,1.25,10/12/2023
Nuneaton,1.43,31/12/2023
Nuneaton,2.12,02/01/2024
Nuneaton,0.94,22/01/2024
Nuneaton,1.48,22/02/2024
Oak Cottage,2.3,20/10/2023
Oak Cottage,0.72,04/11/2023
Oak Cottage,1.25,09/02/2024
Oak Cottage,0.71,09/12/2023
Oak Cottage,0.82,02/01/2024
Oak Cottage,1.28,02/01/2024
Oak Cottage,0.49,22/01/2024
Oak Cottage,0.96,22/02/2024
Offenham,1.96,20/10/2023
Offenham,1.47,05/11/2023
Offenham,2.1,09/02/2024
Offenham,1.62,09/12/2023
Offenham,1.76,31/12/2023
Offenham,1.88,02/01/2024
Offenham,0.65,22/01/2024
Offenham,1.85,22/02/2024
Old Budbrooke Road,1.26,20/10/2023
Old Budbrooke Road,0.5,04/11/2023
Old Budbrooke Road,0.87,09/12/2023
Old Budbrooke Road,1.12,01/01/2024
Old Budbrooke Road,1.46,02/01/2024
Old Budbrooke Road,0.46,22/01/2024
Onibury,3.74,20/10/2023
Onibury,2.06,02/11/2023
Onibury,2.44,09/02/2024
Onibury,2.09,12/12/2023
Onibury,2.21,27/12/2023
Onibury,2.74,02/01/2024
Onibury,1.47,22/01/2024
Onibury,2.51,22/02/2024
Packington,2.12,20/10/2023
Packington,0.9,02/11/2023
Packington,1.14,09/02/2024
Packington,0.9,09/12/2023
Packington,1.14,01/01/2024
Packington,1.91,02/01/2024
Packington,0.31,22/01/2024
Packington,1.55,22/02/2024
Park Hill,1.75,20/10/2023
Park Hill,0.88,04/11/2023
Park Hill,1.33,09/02/2024
Park Hill,0.94,09/12/2023
Park Hill,0.99,01/01/2024
Park Hill,1.49,02/01/2024
Park Hill,0.88,22/01/2024
Park Hill,1.57,22/02/2024
Parkend,0.38,20/10/2023
Parkend,0.3,04/11/2023
Parkend,0.85,09/02/2024
Parkend,0.57,09/12/2023
Parkend,0.68,02/01/2024
Parkend,0.78,02/01/2024
Parkend,0.51,22/01/2024
Parkend,0.5,22/02/2024
Penkridge,2.06,21/10/2023
Penkridge,1.67,05/11/2023
Penkridge,1.89,09/02/2024
Penkridge,1.66,09/12/2023
Penkridge,1.63,28/12/2023
Penkridge,2.08,03/01/2024
Penkridge,0.71,22/01/2024
Penkridge,2.01,22/02/2024
Perry Park,2.56,20/10/2023
Perry Park,1.45,04/11/2023
Perry Park,2.14,09/02/2024
Perry Park,1.45,09/12/2023
Perry Park,1.58,02/01/2024
Perry Park,2.43,02/01/2024
Perry Park,1.11,22/01/2024
Perry Park,2.28,22/02/2024
Pershore,4.49,21/10/2023
Pershore,3.54,02/11/2023
Pershore,4.63,10/02/2024
Pershore,3.92,13/12/2023
Pershore,4.15,01/01/2024
Pershore,4.79,03/01/2024
Pershore,3.54,22/01/2024
Pershore,4.3,23/02/2024
Peterchurch,0.78,20/10/2023
Peterchurch,0.92,04/11/2023
Peterchurch,1.24,09/02/2024
Peterchurch,0.93,09/12/2023
Peterchurch,1.04,02/01/2024
Peterchurch,1.9,02/01/2024
Peterchurch,0.76,22/01/2024
Peterchurch,0.98,22/02/2024
Polesworth,2.31,21/10/2023
Polesworth,1.35,05/11/2023
Polesworth,2.25,09/02/2024
Polesworth,1.36,09/12/2023
Polesworth,1.46,01/01/2024
Polesworth,2.58,03/01/2024
Polesworth,0.54,22/01/2024
Polesworth,2.02,23/02/2024
Prestbury Road,0.23,20/10/2023
Prestbury Road,0.11,04/11/2023
Prestbury Road,0.15,09/02/2024
Prestbury Road,0.14,12/12/2023
Prestbury Road,0.14,28/12/2023
Prestbury Road,0.12,02/01/2024
Prestbury Road,0.1,21/01/2024
Prestbury Road,0.15,22/02/2024
Puxton,3.36,21/10/2023
Puxton,1.78,05/11/2023
Puxton,2.77,09/02/2024
Puxton,1.94,09/12/2023
Puxton,1.72,27/12/2023
Puxton,2.79,03/01/2024
Puxton,1.56,22/01/2024
Puxton,2.72,23/02/2024
Quixhill,2.6,21/10/2023
Quixhill,2.62,03/11/2023
Quixhill,1.83,09/02/2024
Quixhill,2.03,10/12/2023
Quixhill,1.63,27/12/2023
Quixhill,2.58,03/01/2024
Quixhill,0.96,22/01/2024
Quixhill,1.93,22/02/2024
Rocester Dove,1.85,20/10/2023
Rocester Dove,1.41,03/11/2023
Rocester Dove,1.2,09/02/2024
Rocester Dove,1.32,09/12/2023
Rocester Dove,1.18,27/12/2023
Rocester Dove,1.58,02/01/2024
Rocester Dove,0.63,22/01/2024
Rocester Dove,1.26,22/02/2024
Rodington,1.59,21/10/2023
Rodington,1.26,05/11/2023
Rodington,1.49,10/02/2024
Rodington,1.42,10/12/2023
Rodington,1.32,29/12/2023
Rodington,1.61,03/01/2024
Rodington,0.73,23/01/2024
Rodington,1.44,23/02/2024
Ross On Wye,3.7,21/10/2023
Ross On Wye,3.42,05/11/2023
Ross On Wye,4.22,10/02/2024
Ross On Wye,3.6,13/12/2023
Ross On Wye,4.28,29/12/2023
Ross On Wye,4.81,04/01/2024
Ross On Wye,3.22,23/01/2024
Ross On Wye,4.01,23/02/2024
Rothwell Road,0.8,20/10/2023
Rothwell Road,0.2,04/11/2023
Rothwell Road,0.39,09/12/2023
Rothwell Road,0.72,01/01/2024
Rothwell Road,0.83,02/01/2024
Rothwell Road,0.15,22/01/2024
Rugby,2.18,21/10/2023
Rugby,1.98,03/11/2023
Rugby,3.16,09/02/2024
Rugby,1.93,11/12/2023
Rugby,2.69,31/12/2023
Rugby,3.67,03/01/2024
Rugby,1.33,22/01/2024
Rugby,2.45,23/02/2024
Saintbridge,3.03,20/10/2023
Saintbridge,0.06,02/11/2023
Saintbridge,2.46,09/02/2024
Saintbridge,0.09,10/12/2023
Saintbridge,0.25,31/12/2023
Saintbridge,1.25,02/01/2024
Saintbridge,0.09,22/01/2024
Saintbridge,0.66,22/02/2024
Sandford Bridge,0.31,20/10/2023
Sandford Bridge,0.26,04/11/2023
Sandford Bridge,0.37,09/02/2024
Sandford Bridge,0.32,09/12/2023
Sandford Bridge,0.33,02/01/2024
Sandford Bridge,0.39,02/01/2024
Sandford Bridge,0.29,22/01/2024
Sandford Bridge,0.36,22/02/2024
Sandford Park,0.72,20/10/2023
Sandford Park,0.46,02/11/2023
Sandford Park,0.44,12/12/2023
Sandford Park,0.69,30/12/2023
Sandford Park,0.75,02/01/2024
Sandford Park,0.33,22/01/2024
Sandhurst,3.75,28/10/2023
Sandhurst,3.1,01/11/2023
Sandhurst,4.35,12/02/2024
Sandhurst,3.38,14/12/2023
Sandhurst,3.77,01/01/2024
Sandhurst,5.01,05/01/2024
Sandhurst,2.59,25/01/2024
Sandhurst,4.32,25/02/2024
Sandhurst Hatherley Brook,3.59,25/10/2023
Sandhurst Hatherley Brook,2.92,06/11/2023
Sandhurst Hatherley Brook,3.94,12/02/2024
Sandhurst Hatherley Brook,3.41,13/12/2023
Sandhurst Hatherley Brook,3.68,02/01/2024
Sandhurst Hatherley Brook,5.03,05/01/2024
Sandhurst Hatherley Brook,2.33,25/01/2024
Sandhurst Hatherley Brook,4.24,25/02/2024
Sandhurst Horn's Ditch,1.49,31/10/2023
Sandhurst Horn's Ditch,1.61,07/11/2023
Sandhurst Horn's Ditch,3.48,12/02/2024
Sandhurst Horn's Ditch,1.54,13/12/2023
Sandhurst Horn's Ditch,1.78,02/01/2024
Sandhurst Horn's Ditch,4.17,05/01/2024
Sandhurst Horn's Ditch,1.26,26/01/2024
Sandhurst Horn's Ditch,3.46,25/02/2024
Saxons Lode,5.2,22/10/2023
Saxons Lode,4.08,06/11/2023
Saxons Lode,3.06,10/02/2024
Saxons Lode,4.73,14/12/2023
Saxons Lode,5.07,02/01/2024
Saxons Lode,5.48,04/01/2024
Saxons Lode,3.08,27/01/2024
Saxons Lode,5.04,23/02/2024
Sedgeberrow,1.79,20/10/2023
Sedgeberrow,1.03,04/11/2023
Sedgeberrow,2.25,09/02/2024
Sedgeberrow,1.38,09/12/2023
Sedgeberrow,1.73,31/12/2023
Sedgeberrow,1.61,02/01/2024
Sedgeberrow,0.67,22/01/2024
Sedgeberrow,1.59,22/02/2024
Selly Park,1.73,20/10/2023
Selly Park,0.46,04/11/2023
Selly Park,1.43,09/02/2024
Selly Park,0.75,10/12/2023
Selly Park,0.97,01/01/2024
Selly Park,1.14,02/01/2024
Selly Park,0.68,22/01/2024
Selly Park,1.14,22/02/2024
Shallowford,1.22,21/10/2023
Shallowford,0.87,03/11/2023
Shallowford,0.94,09/02/2024
Shallowford,1.02,10/12/2023
Shallowford,1.05,28/12/2023
Shallowford,1.24,02/01/2024
Shallowford,0.56,22/01/2024
Shallowford,1.08,22/02/2024
Sheepwash,2.38,20/10/2023
Sheepwash,1.11,04/11/2023
Sheepwash,1.76,09/02/2024
Sheepwash,1.13,10/12/2023
Sheepwash,1.25,01/01/2024
Sheepwash,1.6,02/01/2024
Sheepwash,1.17,22/01/2024
Sheepwash,1.98,22/02/2024
Shelley Close,1.35,19/10/2023
Shelley Close,1.2,02/11/2023
Shelley Close,1.44,10/02/2024
Shelley Close,1.36,10/12/2023
Shelley Close,1.36,28/12/2023
Shelley Close,1.4,02/01/2024
Shelley Close,1.41,22/01/2024
Shelley Close,1.37,22/02/2024
Shepherd Road,1.15,20/10/2023
Shepherd Road,0.31,04/11/2023
Shepherd Road,0.54,09/02/2024
Shepherd Road,0.34,10/12/2023
Shepherd Road,0.38,31/12/2023
Shepherd Road,0.49,02/01/2024
Shepherd Road,0.5,21/01/2024
Shepherd Road,0.56,22/02/2024
Shifnal,1,20/10/2023
Shifnal,0.56,04/11/2023
Shifnal,0.53,09/02/2024
Shifnal,0.48,09/12/2023
Shifnal,0.5,01/01/2024
Shifnal,0.6,02/01/2024
Shifnal,0.28,22/01/2024
Shifnal,0.59,22/02/2024
Shipston,3.21,20/10/2023
Shipston,1.89,02/11/2023
Shipston,3.18,09/02/2024
Shipston,2.63,09/12/2023
Shipston,3.09,31/12/2023
Shipston,3.24,02/01/2024
Shipston,1.36,22/01/2024
Shipston,2.93,22/02/2024
Sir Henry Parkes Road,1.44,20/10/2023
Sir Henry Parkes Road,0.53,04/11/2023
Sir Henry Parkes Road,1.28,09/02/2024
Sir Henry Parkes Road,0.9,10/12/2023
Sir Henry Parkes Road,1.12,28/12/2023
Sir Henry Parkes Road,1.33,02/01/2024
Sir Henry Parkes Road,0.83,22/01/2024
Sir Henry Parkes Road,1.11,22/02/2024
Slad Road,0.82,20/10/2023
Slad Road,0.47,04/11/2023
Slad Road,0.48,09/02/2024
Slad Road,0.34,14/12/2023
Slad Road,0.46,02/01/2024
Slad Road,0.69,02/01/2024
